ID_enunciado,ID_hablante,Tipo,archivo_wav,texto_aimara,texto_español,tipo_evidencialidad,duracion_seg,snr_db,calidad_audio,genero,edad,dialect_region
1,SPK00001,oración,SPK00001_00001.wav,"Kullakajaxa uma umaski, Taykaxa mank'a aljaski, Phisixa aycha lunthati.","Mi hermana está tomando agua, La abuela está vendiendo comida, El gato roba carne.",sufijo_-ski,8.42,35,buena,M,30,norte
2,SPK00002,oración,SPK00002_00002.wav,"Nayaxa wawanakaru celulara yatichtha, Jupax anuru mank'a churi. ","Yo enseño a los niños por medio del celular, Él/Ella da comida al perro",cotidiano,6.40,35,buena,M,30,norte
3,SPK00003,oración,SPK00003_00003.wav,"Khitirus juph aljta, Mama Rosaruw juph aljta, Kullamatakit is apanirapi, Jisa, jupatakiw apanirapi.","¿A quién vendiste la quinua?, Vendí la quinua a doña Rosa, ¿Ha traído ropa para tu hermana?, Sí, ha traído para ella.",cotidiano,10.60,35,buena,M,30,norte
4,SPK00004,oración,SPK00004_00004.wav,"Kuns lurta, Nayax qhath sarta, Khitimpis sarta, Kullakamampiwa. ","¿Qué hiciste?, Yo fui al mercado, ¿Con quién fuiste?, Con tu hermana.",cotidiano,7.93,35,buena,M,30,norte
5,SPK00005,oración,SPK00005_00005.wav,"Jupax um umiti, Janiw jupax um umkiti, Jumax ch'uq altati, Janiw nayax ch'uq alktti.","¿Él/ella bebe agua?, No, él/ella no bebe agua, ¿Compraste papa?, No, no la compré.",cotidiano,9.39,35,buena,M,30,norte
6,SPK00006,oración,SPK00006_00006.wav,"Nayax uta sarati, Jumax uta saranttati, Jupaxa uta saraniti, Jiwasaxa uta sarañani.","¿Yo voy a la casa?, ¿Tú/vos vas a la casa?, ¿Él/ella va a la casa?, ¿Nosotros(as) vamos a la casa?.",cotidiano,9.96,35,buena,M,30,norte
7,SPK00007,oración,SPK00007_00007.wav,"Jumanakaxa uta sartapxta ti, Jupanakaxa uta sartapxi ti, Jiwasanakaxa uta sartapxtan ti.","¿Ustedes van a la casa?, ¿Ellos(as) van a la casa?, ¿Nosotros(as) vamos a la casa?.",cotidiano,2.27,35,buena,M,30,norte
8,SPK00008,oración,SPK00008_00008.wav,"Juliox parlaskiwa, Jiwasaw Europar sartan.","Julio está hablando, Nosotros/as vamos/fuimos a Europa.",sufijo_-wa,5.86,35,buena,M,30,norte
9,SPK00009,oración,SPK00009_00009.wav,"Jumax ch’uq altati, Jisa, nayax ch’uq altwa, Janiw nayax ch’uq alktti.","¿Tú compras papa?, Sí, yo compro papa, No, no compro papa.",cotidiano,7.74,35,buena,M,30,norte
10,SPK00010,oración,SPK00010_00010.wav,"Jumat ch’uq alta, Jisa, nayawa, Janiwa. Jilajaw ali.","¿Tú compraste la papa?, Sí, yo la compré, No. Mi hermano la compró.",sufijo_-wa,7.15,35,buena,M,30,norte
11,SPK00011,oración,SPK00011_00011.wav,"Uksan juphat tunquch achu, Juphaw achu, Khayast awayut kunacha, Khayax awayuwa.","¿Por ese lado produce quinua o maíz?, Produce quinua, ¿Aquel es un aguayo o qué es?, Aquel es un aguayo.",cotidiano,9.45,35,buena,M,30,norte
12,SPK00012,oración,SPK00012_00012.wav,"Nayaxa wawanakaru celulara taypita yatichtha, Jisk’a yuqallanakaxa suma sixurïpxi.","Yo enseño a los niños por medio del celular, Los niños pequeños dibujan bonito.",cotidiano,7.70,35,buena,M,30,norte
13,SPK00013,oración,SPK00013_00013.wav,"Yatichirixa yamphi qulla mallkita yatiyatayna, Aukinaka taykanaka aymara arut waruripxäni.","El profesor había investigado sobre varias las plantas medicinales, Los padres de familia cantarán en idioma aimara.",cotidiano,8.47,35,buena,M,30,norte
14,SPK00014,oración,SPK00014_00014.wav,"Uka tawaquxa chupika piluta takitayna, Khaya waynaxa ma larusiña yatiyawi qellque.","Esa señorita había pisado la pelota roja, Ese joven ha escrito un chiste.",cotidiano,7.40,35,buena,M,30,norte
15,SPK00015,oración,SPK00015_00015.wav,"Llatunka marani imillaxa chakaru jalani, Taykaja jisk’a uwixanakapa panpana jakhü.","La niña de nueve años correrá en el cerro, Mi madre cuenta en el campo sus ovejas pequeñas.",cotidiano,7.89,35,buena,M,30,norte
16,SPK00016,oración,SPK00016_00016.wav,Suxtiri yatiñankiri futbula yatiqaña utana anatapxatayna.,Los niños del sexto grado habían jugado futbol en la escuela.,cotidiano,4.55,35,buena,M,30,norte
17,SPK00017,oración,SPK00017_00017.wav,Khaya yatiqirinakaxa phunchawina wali suma thuqupxï.,Esos estudiantes bailan bien bonito en la fiesta.,cotidiano,4.47,35,buena,M,30,norte
18,SPK00018,oración,SPK00018_00018.wav,"Nayax ch’uqi manq’twa, Jumax uma umt’ta, Jupax Paris-an irnaqi, Phisixaxa aycha lunthati, Nayax wawanakaru yatichtha.","Yo como papa, Tú bebes agua, Él/Ella trabaja en París, El gato roba carne, Yo enseño a los niños.",cotidiano,13.16,35,buena,M,30,norte
19,SPK00019,oración,SPK00019_00019.wav,"Jilatajaxa Cusco-ru sari, Awkix jawira q’umachiri sari, Kullakaxaxa isi alji, Nayax suma uta alastha, Jisk’a anunakaxa anatasipkiwa.","Mi hermano va a Cusco, Mi papá va a limpiar el río, Mi hermana vende ropa, Yo compro una casa bonita,  Los perritos pequeños están jugando.",cotidiano,14.82,35,buena,M,30,norte
20,SPK00020,palabra,SPK00020_00020.wav,"yusa,tujtura, uspitala, uphisyala, phiskala, karsila, lunisa, riluju, juwisa","Dios, doctor, hospital, oficial, fiscal, cárcel, lunes, reloj, juez.",palabra_suelta,15.21,35,buena,M,30,norte
21,SPK00021,palabra,SPK00021_00021.wav,"Arjintina, Pirü, Wuliwya, Chili, Parawaya, Iwrupa, Ispaña.","Argentina, Perú, Bolivia, Chile, Paraguay, Europa, España.",palabra_suelta,8.19,35,buena,M,30,norte
22,SPK00022,palabra,SPK00022_00022.wav,"Pumat’a, Jilawi, Axura, Sipita, Qhilluyo, Yunkuyu, Muqiwa, Arikipa","Pomata, Ilave, Ácora, Zepita < Sipita, Kelluyo, Yunguyo, Moquegua, Arequipa.",palabra_suelta,111.02,35,buena,M,30,norte
23,SPK00023,palabra,SPK00023_00023.wav,"Riwuyu, Sisa, Miyila, Uskara, Mariya, Ilutiya, Karlu, umaru.","Gregorio, César, Miguel, Óscar, María, Eleuteria, Carlos, Omar.",palabra_suelta,9.79,35,buena,M,30,norte
24,SPK00024,palabra,SPK00024_00024.wav,"naya, juma, jupa, jiwasa, nanaka, jumanaka, jupanaka, jiwasanaka.","yo, tu, el, nosotros, ustedes, ellos/ellas, vosotros.",sufijo_-naka,11.43,35,buena,M,30,norte
25,SPK00025,auto_dialogo,SPK00025_00025.wav,"Aski urukïpan kullaka, Aski urukïpanay kullaka, Kamisaki?, Waliki, Juman sutimax kunasa?, Nayan sutijax Yanina Gisella Olarte Tarifawa.","Buen día hermana, Buen día hermana, ¿Cómo estás?, Bien, ¿Cuál es tu nombre?, Mi nombre es Yanina Gisella Olarte tarifa.",cotidiano,14.04,35,buena,M,30,norte
26,SPK00026,auto_dialogo,SPK00026_00026.wav,"Jumansti?, Nayan sutijax María Alejandra Mamani Corderuwa, Jumax qawqha maranitasa?, Nayax pä tunka pusini maranitwa.","¿Y de ti?, Mi nombre es María Alejandra Mamani Corderu, ¿Tú cuántos años tienes?, Yo tengo 24 años.",cotidiano,11.89,35,buena,M,30,norte
27,SPK00027,auto_dialogo,SPK00027_00027.wav,"Jumax Kawkitatasa?, Nayax puno markatatwa, Jumasti?, Nayax ilavetwa. ","¿Tú de dónde eres?, Yo soy de la ciudad de puno, ¿Y tú?, Yo soy de Ilave.",cotidiano,7.47,35,buena,M,30,norte
28,SPK00028,auto_dialogo,SPK00028_00028.wav,"Jumax kuna luriritasa?, Nayax jakhuritwa, Jumax qawqha jilanitasa?, Nayax mä jilanitwa.","¿Cuál es tu ocupación?, Yo soy contadora, ¿Tú cuantos hermanos tienes?, Yo tengo un hermano.",cotidiano,8.96,35,buena,M,30,norte
29,SPK00029,auto_dialogo,SPK00029_00029.wav,"Jilaman sutipax kunasa?, Jilajan sutipax Marcelowa, Akax kunasa?, Ukax pankawa.","¿Cuál es su nombre de tu hermano?, Su nombre de mi hermano es Marcelo, ¿Qué es esto?, Eso es libro.",cotidiano,8.40,35,buena,M,30,norte
30,SPK00030,auto_dialogo,SPK00030_00030.wav,"Akax khitinkisa?, Ukax jumankiwa, Kawkirus sarañani?, Qhaturu, Jumax uywanitati?, Jisa, mä anunitwa.","¿Esto de quién es?, Eso es tuyo, ¿Dónde vamos a ir?, A la feria, ¿Tú tienes animales?, Sí, tengo un perro",sufijo_-wa,12.42,35,buena,M,30,norte
31,SPK00031,auto_dialogo,SPK00031_00031.wav,"Kawkinkis anumaxa?, Anujax utajankaskiwa, Anumaxa kuna saminisa?, Janq’umpi ch’iyarampi saminiwa.","¿Dónde está tu perro?, Mi perro está en mi casa, ¿De qué color es tu perro?, Es de color blanco y negro.",sufij0_-wa,10.01,35,buena,M,30,norte
32,SPK00032,auto_dialogo,SPK00032_00032.wav,"Kuna maranktansa?, Pä waranqa pätunka mayani, maranktanwa, Kuna phaxsinktansa?, Taypi sata phaxsinktanwa. ","¿En qué año estamos?, Estamos en el año 2021, ¿En qué mes estamos?, Estamos en el mes de octubre.",cotidiano,9.33,35,buena,M,30,norte
